run_id,topology,select_prob,env_scalar,use_ecm,rep,seed,generations_run,final_mean_fitness,late_mean_fitness,late_frac_high,final_peaks_colonized
complete_sp0.0_env0.0_ecm1_02,complete,0.0,0.0,1,2,1419062964,300,0.10125,0.09812,0.0,0
small_world_sp0.5_env0.0_ecm0_04,small_world,0.5,0.0,0,4,3273572217,300,0.58683,0.57975,0.0,0
complete_sp1.0_env1.0_ecm0_04,complete,1.0,1.0,0,4,2508450026,300,0.86034,0.83899,0.1954,0
small_world_sp0.5_env0.0_ecm1_04,small_world,0.5,0.0,1,4,1042721629,300,0.68397,0.64053,0.0,0
small_world_sp0.0_env0.0_ecm0_04,small_world,0.0,0.0,0,4,358328580,300,0.10429,0.10384,0.0,0
small_world_sp1.0_env0.5_ecm0_04,small_world,1.0,0.5,0,4,107129386,300,0.64619,0.62678,0.0,0
small_world_sp1.0_env0.5_ecm1_04,small_world,1.0,0.5,1,4,3279564747,300,0.76746,0.74717,0.0,0
small_world_sp1.0_env1.0_ecm0_04,small_world,1.0,1.0,0,4,3035495333,300,0.47651,0.47136,0.0,0
small_world_sp0.0_env0.0_ecm1_04,small_world,0.0,0.0,1,4,2426068740,300,0.10995,0.10226,0.0,0
ring_lattice_sp1.0_env0.0_ecm0_04,ring_lattice,1.0,0.0,0,4,2917080169,300,0.8,0.79997,0.0,0
small_world_sp1.0_env1.0_ecm1_04,small_world,1.0,1.0,1,4,2047167863,300,0.5266,0.52349,0.0,0
ring_lattice_sp0.5_env0.0_ecm0_04,ring_lattice,0.5,0.0,0,4,1664956861,300,0.56096,0.52446,0.0,0
ring_lattice_sp1.0_env0.0_ecm1_04,ring_lattice,1.0,0.0,1,4,1132451391,300,0.83333,0.81878,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_04,ring_lattice,0.0,0.0,0,4,2361316394,300,0.10698,0.10975,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_04,ring_lattice,1.0,0.5,1,4,1116806018,300,0.67349,0.6389,0.0,0
ring_lattice_sp0.5_env0.0_ecm1_04,ring_lattice,0.5,0.0,1,4,654374559,300,0.6619,0.63202,0.0,0
ring_lattice_sp1.0_env0.5_ecm0_04,ring_lattice,1.0,0.5,0,4,1440867565,300,0.6277,0.60056,0.0,0
ring_lattice_sp1.0_env1.0_ecm0_04,ring_lattice,1.0,1.0,0,4,115818189,300,0.44244,0.43325,0.0,0
complete_sp1.0_env0.5_ecm1_04,complete,1.0,0.5,1,4,995754487,300,0.93124,0.93351,0.7602,0
complete_sp1.0_env0.0_ecm0_05,complete,1.0,0.0,0,5,290248951,78,1.0,0.71957,0.2331,1
ring_lattice_sp0.0_env0.0_ecm1_04,ring_lattice,0.0,0.0,1,4,2006703333,300,0.10868,0.11385,0.0,0
ring_lattice_sp1.0_env1.0_ecm1_04,ring_lattice,1.0,1.0,1,4,2623964853,300,0.48906,0.50532,0.0,0
complete_sp0.5_env0.0_ecm1_04,complete,0.5,0.0,1,4,201876353,300,0.89833,0.88217,0.6271,0
complete_sp0.5_env0.0_ecm0_05,complete,0.5,0.0,0,5,452488273,300,0.92048,0.9207,0.707,1
complete_sp1.0_env1.0_ecm1_04,complete,1.0,1.0,1,4,2587649547,300,0.91919,0.8917,0.5183,1
complete_sp0.0_env0.0_ecm0_05,complete,0.0,0.0,0,5,190738198,300,0.09919,0.09669,0.0,0
complete_sp1.0_env0.0_ecm1_05,complete,1.0,0.0,1,5,2363897034,132,1.0,0.92442,0.7219,1
complete_sp1.0_env0.5_ecm0_05,complete,1.0,0.5,0,5,3225174822,300,0.86794,0.87463,0.4585,0
complete_sp1.0_env1.0_ecm0_05,complete,1.0,1.0,0,5,3418244196,300,0.88524,0.86478,0.3596,0
small_world_sp1.0_env0.0_ecm0_05,small_world,1.0,0.0,0,5,3510557355,300,0.86579,0.82623,0.0011,0
small_world_sp1.0_env0.0_ecm1_05,small_world,1.0,0.0,1,5,1062052216,300,0.89167,0.85819,0.0,0
complete_sp0.0_env0.0_ecm1_03,complete,0.0,0.0,1,3,3612374055,300,0.10851,0.10709,0.0,0
small_world_sp0.5_env0.0_ecm0_05,small_world,0.5,0.0,0,5,42400005,300,0.63422,0.59468,0.0,0
small_world_sp0.0_env0.0_ecm0_05,small_world,0.0,0.0,0,5,2875137606,300,0.10891,0.10607,0.0,0
small_world_sp0.5_env0.0_ecm1_05,small_world,0.5,0.0,1,5,1201571087,300,0.67804,0.64046,0.0,0
small_world_sp1.0_env0.5_ecm0_05,small_world,1.0,0.5,0,5,3262843818,300,0.66822,0.62849,0.0,0
small_world_sp1.0_env0.5_ecm1_05,small_world,1.0,0.5,1,5,1735700081,300,0.76245,0.73051,0.0,0
small_world_sp1.0_env1.0_ecm0_05,small_world,1.0,1.0,0,5,3627054544,300,0.47768,0.48215,0.0,0
ring_lattice_sp1.0_env0.0_ecm1_05,ring_lattice,1.0,0.0,1,5,2675995069,300,0.85973,0.84017,0.0,0
small_world_sp0.0_env0.0_ecm1_05,small_world,0.0,0.0,1,5,1507039559,300,0.09533,0.0966,0.0,0
ring_lattice_sp1.0_env0.0_ecm0_05,ring_lattice,1.0,0.0,0,5,3439526397,300,0.85,0.83441,0.0,0
small_world_sp1.0_env1.0_ecm1_05,small_world,1.0,1.0,1,5,3171819832,300,0.58895,0.58004,0.0,0
ring_lattice_sp0.5_env0.0_ecm0_05,ring_lattice,0.5,0.0,0,5,1862560398,300,0.56945,0.56112,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_05,ring_lattice,0.0,0.0,0,5,2028950473,300,0.10716,0.10746,0.0,0
ring_lattice_sp0.5_env0.0_ecm1_05,ring_lattice,0.5,0.0,1,5,1959590572,300,0.56068,0.55298,0.0,0
ring_lattice_sp1.0_env0.5_ecm0_05,ring_lattice,1.0,0.5,0,5,917777775,300,0.55246,0.55072,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_05,ring_lattice,1.0,0.5,1,5,1419589568,300,0.76741,0.72031,0.0,0
