run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.5_ecm0_top_fitness_vc500_01,0.5,0,top_fitness,500,2214454245,500,1,,"{""2"": 234}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc0_01,1.0,0,top_fitness,0,3134140060,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc50_01,1.0,0,top_fitness,50,3736363445,500,1,,"{""1"": 256}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_00,1.0,1,top_fitness,200,3703731537,500,2,,"{""1"": 153, ""4"": 484}","{""1"": ""valley"", ""4"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc0_02,0.5,1,top_fitness,0,4054825864,500,1,,"{""3"": 323}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_01,1.0,0,top_fitness,200,3085126100,500,1,,"{""2"": 237}","{""2"": ""valley""}","{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc50_01,1.0,1,top_fitness,50,4027431206,500,1,,"{""1"": 239}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc500_01,0.5,1,top_fitness,500,2310839500,500,1,,"{""1"": 388}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc0_02,0.5,0,top_fitness,0,3422866243,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10, ""4"": 10}"
s0.5_ecm1_top_fitness_vc50_02,0.5,1,top_fitness,50,3420706236,500,1,,"{""1"": 123}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc50_02,0.5,0,top_fitness,50,1952874299,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc500_01,1.0,0,top_fitness,500,596036621,500,1,,"{""1"": 418}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""4"": 10, ""0"": 10}"
s0.5_ecm0_top_fitness_vc200_02,0.5,0,top_fitness,200,4039683453,500,1,,"{""2"": 147}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc500_00,1.0,1,top_fitness,500,4118463892,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_02,0.5,1,top_fitness,200,1149243220,500,2,,"{""2"": 154, ""1"": 476}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc0_02,1.0,1,top_fitness,0,321428139,500,2,,"{""3"": 346, ""1"": 475}","{""3"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc0_02,1.0,0,top_fitness,0,1074640293,500,1,,"{""1"": 400}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s0.5_ecm0_top_fitness_vc500_02,0.5,0,top_fitness,500,2050600245,500,0,,{},{},"{""2"": 10, ""1"": 10, ""4"": 10, ""3"": 10, ""0"": 10}"
s1.0_ecm0_top_fitness_vc50_02,1.0,0,top_fitness,50,4043153964,500,1,,"{""2"": 493}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_02,1.0,0,top_fitness,200,1215814123,500,1,,"{""2"": 198}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
