run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.5_ecm1_top_fitness_vc200_12,1.5,1,top_fitness,200,4052572667,500,1,,"{""1"": 292}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_vc200_13,1.0,0,random,200,566929008,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10, ""4"": 10}"
s0.5_ecm1_random_vc200_13,0.5,1,random,200,3212009157,500,1,,"{""1"": 323}","{""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_13,1.0,1,top_fitness,200,545168721,500,2,,"{""1"": 190, ""2"": 385}","{""1"": ""valley"", ""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_vc200_12,1.0,1,random,200,119126687,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_top_fitness_vc200_13,1.5,0,top_fitness,200,1162381611,500,0,,{},{},"{""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""3"": 10}"
s1.5_ecm0_random_vc200_13,1.5,0,random,200,3995089631,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_random_vc200_11,1.5,1,random,200,1156847683,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_vc200_14,0.25,0,top_fitness,200,3727991088,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_vc200_14,0.25,1,top_fitness,200,3930663054,500,1,,"{""1"": 486}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_vc200_14,0.25,0,random,200,1044711986,500,1,,"{""4"": 494}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_14,0.5,0,top_fitness,200,1123166269,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_vc200_14,0.25,1,random,200,1698759047,500,2,,"{""0"": 282, ""1"": 352}","{""0"": ""in_situ"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_14,0.5,1,top_fitness,200,2524215077,500,1,,"{""2"": 178}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_14,0.5,0,random,200,405525740,500,1,,"{""4"": 488}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_vc200_13,1.5,1,top_fitness,200,2558230500,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""4"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_14,1.0,0,top_fitness,200,3656751233,500,2,,"{""2"": 248, ""1"": 446}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_random_vc200_14,1.0,0,random,200,4168107308,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10, ""4"": 10}"
s0.5_ecm1_random_vc200_14,0.5,1,random,200,2143287099,500,2,,"{""3"": 448, ""1"": 457}","{""3"": ""in_situ"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc200_14,1.0,1,top_fitness,200,1982796152,500,1,,"{""4"": 458}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_vc200_14,1.5,0,top_fitness,200,1313656315,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10, ""4"": 10}"
s1.0_ecm1_random_vc200_13,1.0,1,random,200,4135330469,500,1,,"{""1"": 384}","{""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_random_vc200_14,1.5,0,random,200,4225825050,500,0,,{},{},"{""2"": 10, ""3"": 10, ""4"": 10, ""1"": 10, ""0"": 10}"
s0.25_ecm0_top_fitness_vc200_15,0.25,0,top_fitness,200,3718289914,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_vc200_12,1.5,1,random,200,4118015926,500,1,,"{""1"": 436}","{""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_vc200_15,0.25,1,top_fitness,200,1653173613,500,1,,"{""3"": 452}","{""3"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_vc200_15,0.25,0,random,200,4178347397,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_15,0.5,0,top_fitness,200,1328184975,500,1,,"{""2"": 164}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_vc200_15,0.25,1,random,200,2157033434,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_15,0.5,1,top_fitness,200,3439920422,500,1,,"{""2"": 132}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_15,0.5,0,random,200,3195223705,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_15,1.0,0,top_fitness,200,2331823332,500,1,,"{""4"": 441}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_vc200_14,1.5,1,top_fitness,200,2340992401,500,1,,"{""1"": 222}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_random_vc200_15,1.0,0,random,200,2088613637,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_vc200_13,1.5,1,random,200,92860622,500,1,,"{""1"": 390}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc200_15,1.0,1,top_fitness,200,1010125221,500,1,,"{""3"": 482}","{""3"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_top_fitness_vc200_15,1.5,0,top_fitness,200,1446947342,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_vc200_15,0.5,1,random,200,3194997559,500,1,,"{""1"": 355}","{""1"": ""in_situ""}","{""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""3"": 10}"
s1.5_ecm0_random_vc200_15,1.5,0,random,200,2156086463,500,0,,{},{},"{""1"": 10, ""3"": 10, ""0"": 10, ""4"": 10, ""2"": 10}"
s1.0_ecm1_random_vc200_14,1.0,1,random,200,3063524427,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_vc200_16,0.25,0,top_fitness,200,435974425,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
